Customer,Product,Quantity,Price,Date
Asha,Tablet,1,14104,28-09-2025
Ravi,Laptop,5,9528,01-09-2025
Kiran,Laptop,5,36212,30-10-2025
Ravi,Keyboard,1,34209,03-09-2025
Pooja,Mouse,4,38675,19-10-2025
Kiran,Desk,3,23693,04-10-2025
Neha,Chair,5,26258,12-09-2025
Arjun,Mouse,5,23557,27-09-2025
Neha,Monitor,5,44695,14-10-2025
John,Chair,4,2670,07-09-2025
John,Monitor,2,21702,04-10-2025
Meera,Monitor,1,35417,16-10-2025
Ravi,Mobile,1,18675,09-10-2025
John,Monitor,1,39774,26-10-2025
John,Mouse,5,4993,30-10-2025
Neha,Laptop,2,23884,24-09-2025
John,Tablet,4,34845,15-10-2025
Vijay,Laptop,3,6104,16-09-2025
Arjun,Desk,2,28695,04-09-2025
John,Mouse,5,9394,25-09-2025
Vijay,Keyboard,5,44403,13-10-2025
Ravi,Monitor,5,10484,02-10-2025
Neha,Laptop,2,5588,29-10-2025
Meera,Mouse,4,6190,06-09-2025
Pooja,Desk,1,44944,29-10-2025
Pooja,Desk,1,33416,14-10-2025
Pooja,Laptop,5,5036,25-10-2025
Sita,Desk,2,25254,03-10-2025
Vijay,Monitor,3,3770,13-09-2025
Sita,Chair,2,5357,11-10-2025
Vijay,Desk,4,36080,14-09-2025
Sita,Tablet,1,48262,06-10-2025
Neha,Mobile,1,27310,21-09-2025
Neha,Desk,1,16167,14-09-2025
Arjun,Laptop,3,6599,11-10-2025
Meera,Monitor,1,20404,01-10-2025
Asha,Mouse,2,12262,13-09-2025
Sita,Monitor,5,41911,07-09-2025
Kiran,Mobile,2,4955,28-09-2025
John,Mobile,1,21668,27-10-2025
Kiran,Laptop,4,17183,01-10-2025
Pooja,Chair,5,11739,16-10-2025
John,Mouse,4,12023,17-09-2025
Neha,Desk,1,35407,29-09-2025
John,Monitor,1,19784,08-10-2025
Kiran,Laptop,5,45509,04-09-2025
Ravi,Monitor,3,20436,04-10-2025
Pooja,Desk,4,5362,13-09-2025
Meera,Chair,1,1659,21-09-2025
John,Mobile,4,38442,21-10-2025
Ravi,Chair,3,3285,07-09-2025
Neha,Tablet,5,15095,10-10-2025
Meera,Keyboard,3,41362,28-10-2025
John,Desk,2,41513,26-10-2025
Asha,Chair,4,35800,12-10-2025
Neha,Monitor,3,38189,19-10-2025
Meera,Desk,4,43945,03-10-2025
Pooja,Mouse,4,24178,02-10-2025
Arjun,Mobile,3,33640,26-10-2025
Pooja,Mobile,3,24478,06-10-2025
Vijay,Mobile,1,31827,30-09-2025
Meera,Laptop,2,21336,08-09-2025
Ravi,Monitor,1,49959,18-09-2025
Kiran,Mouse,3,5681,11-09-2025
Sita,Keyboard,3,17626,01-09-2025
Asha,Mouse,4,24759,20-10-2025
Neha,Mobile,5,13761,21-09-2025
Arjun,Desk,3,11530,15-09-2025
Vijay,Laptop,2,37266,02-10-2025
John,Desk,3,3841,25-09-2025
Neha,Monitor,4,18479,25-09-2025
Asha,Keyboard,3,24209,02-10-2025
Pooja,Monitor,3,24892,27-09-2025
Arjun,Mouse,4,41963,28-09-2025
Sita,Chair,2,12450,28-10-2025
Ravi,Laptop,5,32436,29-09-2025
Kiran,Mouse,4,34954,14-09-2025
Meera,Desk,3,21144,28-10-2025
Neha,Keyboard,2,35675,03-10-2025
Asha,Desk,5,15951,20-10-2025
Pooja,Desk,3,19583,24-09-2025
Vijay,Mobile,5,38088,30-09-2025
Asha,Chair,1,19361,19-10-2025
Vijay,Tablet,1,22988,10-10-2025
Meera,Tablet,1,11014,29-10-2025
Pooja,Tablet,1,33739,17-10-2025
Pooja,Keyboard,2,26102,25-10-2025
Pooja,Chair,5,30620,16-09-2025
Asha,Chair,3,32770,28-09-2025
Asha,Keyboard,4,37443,14-10-2025
Kiran,Tablet,1,24353,08-10-2025
Arjun,Laptop,4,38917,13-10-2025
Arjun,Keyboard,1,37770,25-10-2025
Kiran,Monitor,1,36610,03-09-2025
Kiran,Desk,5,22792,20-09-2025
Sita,Chair,4,14145,22-09-2025
Sita,Chair,2,27021,21-10-2025
Asha,Chair,1,34357,27-09-2025
Vijay,Mobile,3,33588,10-09-2025
Asha,Mouse,5,16945,17-10-2025
